,f0,Q,A,H_kde_count,L_kde_count,both_kde_count,H_dev_count,L_dev_count,both_dev_count
0,30,3,5.0000000000000005e-22,0,0,0,0,0,0
1,30,3,1.0000000000000001e-21,0,0,0,0,0,0
2,30,3,2.0000000000000002e-21,0,0,0,0,0,0
3,30,3,3e-21,0,0,0,0,1,0
4,30,9,5.0000000000000005e-22,0,0,0,0,0,0
5,30,9,1.0000000000000001e-21,0,0,0,0,0,0
6,30,9,2.0000000000000002e-21,0,0,0,0,0,0
7,30,9,3e-21,0,0,0,0,1,0
8,30,100,5.0000000000000005e-22,0,0,0,0,0,0
9,30,100,1.0000000000000001e-21,0,0,0,7,4,4
10,30,100,2.0000000000000002e-21,0,0,0,12,11,11
11,30,100,3e-21,0,0,0,13,13,12
12,70,9,5.0000000000000005e-22,0,0,0,0,0,0
13,70,9,1.0000000000000001e-21,0,0,0,0,0,0
14,70,9,2.0000000000000002e-21,0,0,0,0,0,0
15,70,9,3e-21,0,0,0,0,0,0
16,70,100,5.0000000000000005e-22,0,0,0,0,0,0
17,70,100,1.0000000000000001e-21,0,0,0,3,2,1
18,70,100,2.0000000000000002e-21,0,0,0,11,5,5
19,70,100,3e-21,0,0,0,12,9,9
