,f0,Q,A,h_rss,h_rss_crop,S,N
0,30,3,8.5e-21,5.051711322988636e-22,5.051711322988636e-22,2.551978729081159e-43,2.046609207001098e-37
1,30,3,1.7e-20,1.0103422645977271e-21,1.0103422645977271e-21,1.0207914916324637e-42,2.046609207001098e-37
2,30,3,3.4e-20,2.0206845291954543e-21,2.0206845291954543e-21,4.0831659665298546e-42,2.046609207001098e-37
3,30,3,5.099999999999999e-20,3.031026793793181e-21,3.031026793793181e-21,9.18712342469217e-42,2.046609207001098e-37
4,30,9,4.9e-21,5.042818683660913e-22,5.042818683660913e-22,2.5430020276279583e-43,2.046609207001098e-37
5,30,9,9.8e-21,1.0085637367321825e-21,1.0085637367321825e-21,1.0172008110511833e-42,2.046609207001098e-37
6,30,9,1.8600000000000004e-20,1.9142128064508775e-21,1.9142128064508775e-21,3.664210668380544e-42,2.046609207001098e-37
7,30,9,2.94e-20,3.025691210196548e-21,3.025691210196548e-21,9.154807299460651e-42,2.046609207001098e-37
8,30,100,1.5e-21,5.14348889201738e-22,5.122800406332243e-22,2.6243084003117795e-43,2.046609207001098e-37
9,30,100,2.8999999999999996e-21,9.944078524566933e-22,9.904080785575668e-22,9.809081620720915e-43,2.046609207001098e-37
10,30,100,5.8999999999999995e-21,2.02310563086017e-21,2.0149681598240157e-21,4.06009668510458e-42,2.046609207001098e-37
11,30,100,8.8e-21,3.0175134833168638e-21,3.005376238381583e-21,9.032286334228633e-42,2.046609207001098e-37
12,70,9,7.499999999999999e-21,5.053009839755185e-22,5.053009839755185e-22,2.553290844066272e-43,2.046609207001098e-37
13,70,9,1.4999999999999998e-20,1.010601967951037e-21,1.010601967951037e-21,1.0213163376265089e-42,2.046609207001098e-37
14,70,9,2.9999999999999997e-20,2.021203935902074e-21,2.021203935902074e-21,4.0852653505060355e-42,2.046609207001098e-37
15,70,9,4.5e-20,3.031805903853112e-21,3.031805903853112e-21,9.191847038638585e-42,2.046609207001098e-37
16,70,100,2.2e-21,4.938565695660518e-22,4.938565694433634e-22,2.4389431118236755e-43,2.046609207001098e-37
17,70,100,4.5000000000000004e-21,1.0101611650214696e-21,1.0101611647705159e-21,1.0204255788105254e-42,2.046609207001098e-37
18,70,100,8.899999999999999e-21,1.9978743041535724e-21,1.997874303657242e-21,3.9915017332139096e-42,2.046609207001098e-37
19,70,100,1.3400000000000001e-20,3.0080354691750426e-21,3.0080354684277585e-21,9.048277379319404e-42,2.046609207001098e-37
