,tau,A,h_rss,h_rss_crop,S,N
0,0.0001,2.0000000000000002e-20,1.1195135468715941e-22,1.1195135468715941e-22,1.2533105816290171e-44,2.046609207001098e-37
1,0.0001,2.9999999999999997e-20,1.6792703203073913e-22,1.6792703203073913e-22,2.8199488086652883e-44,2.046609207001098e-37
2,0.0001,4.0000000000000004e-20,2.2390270937431883e-22,2.2390270937431883e-22,5.013242326516069e-44,2.046609207001098e-37
3,0.0001,5e-20,2.7987838671789852e-22,2.7987838671789852e-22,7.833191135181356e-44,2.046609207001098e-37
4,0.0001,5.5e-19,3.0786622538968837e-21,3.0786622538968837e-21,9.47816127356944e-42,2.046609207001098e-37
5,0.0001,6e-19,3.3585406406147823e-21,3.3585406406147823e-21,1.1279795234661152e-41,2.046609207001098e-37
6,0.0001,6.5e-19,3.638419027332681e-21,3.638419027332681e-21,1.3238093018456495e-41,2.046609207001098e-37
7,0.001,4.0000000000000004e-21,7.080435402757377e-23,7.080435402757377e-23,5.013256549262002e-45,2.046609207001098e-37
8,0.001,5.0000000000000005e-21,8.850544253446721e-23,8.850544253446721e-23,7.833213358221878e-45,2.046609207001098e-37
9,0.001,6e-21,1.0620653104136063e-22,1.0620653104136063e-22,1.12798272358395e-44,2.046609207001098e-37
10,0.001,6.999999999999999e-21,1.2390761954825407e-22,1.2390761954825407e-22,1.5353098182114875e-44,2.046609207001098e-37
11,0.0025,4.0000000000000004e-21,1.1195151349202478e-22,1.1195151349202478e-22,1.2533141373155005e-44,2.046609207001098e-37
12,0.0025,5.0000000000000005e-21,1.3993939186503096e-22,1.3993939186503096e-22,1.9583033395554696e-44,2.046609207001098e-37
13,0.0025,6e-21,1.6792727023803714e-22,1.6792727023803714e-22,2.819956808959875e-44,2.046609207001098e-37
14,0.0025,6.999999999999999e-21,1.9591514861104332e-22,1.9591514861104332e-22,3.8382745455287187e-44,2.046609207001098e-37
15,0.0025,1.1000000000000002e-19,3.0786666210306816e-21,3.0786666210306816e-21,9.478188163448474e-42,2.046609207001098e-37
16,0.0025,1.1999999999999999e-19,3.3585454047607423e-21,3.3585454047607423e-21,1.1279827235839499e-41,2.046609207001098e-37
17,0.0025,1.2999999999999998e-19,3.6384241884908045e-21,3.6384241884908045e-21,1.3238130575394968e-41,2.046609207001098e-37
18,0.004,4.0000000000000004e-21,1.4160870805514754e-22,1.4160870805514754e-22,2.0053026197048008e-44,2.046609207001098e-37
19,0.004,5.0000000000000005e-21,1.7701088506893441e-22,1.7701088506893441e-22,3.133285343288751e-44,2.046609207001098e-37
20,0.004,6e-21,2.1241306208272127e-22,2.1241306208272127e-22,4.5119308943358e-44,2.046609207001098e-37
21,0.004,6.999999999999999e-21,2.4781523909650815e-22,2.4781523909650815e-22,6.14123927284595e-44,2.046609207001098e-37
22,0.01,9.000000000000001e-21,5.037818107141115e-22,5.037818107141115e-22,2.5379611280638885e-43,2.046609207001098e-37
23,0.01,1.0000000000000001e-20,5.597575674601238e-22,5.597575674601238e-22,3.1332853432887513e-43,2.046609207001098e-37
24,0.01,1.1000000000000001e-20,6.157333242061363e-22,6.157333242061363e-22,3.7912752653793896e-43,2.046609207001098e-37
25,0.01,1.2e-20,6.717090809521486e-22,6.717090809521486e-22,4.511930894335801e-43,2.046609207001098e-37
